Datum,Ort,NS,NS_flag,LF,LF_flag,pH,pH_flag,NH4,NH4_flag,Na,Na_flag,K,K_flag,Ca,Ca_flag,Mg,Mg_flag,Cl,Cl_flag,NO3,NO3_flag,SO4,SO4_flag,Pb,Pb_flag,Cd,Cd_flag
2014-10-01,SO,6.7,1.0,4.05,1.0,5.52,1.0,0.158,1.0,0.03,1.0,0.01,1.0,0.301,1.0,0.032,1.0,0.016,1.0,0.493,1.0,0.573,1.0,0.0001696000558547,1.0,0.0328739782127301,1.0
2014-10-01,AF,1.4,1.0,16.95,1.0,5.72,1.0,1.187,1.0,0.308,1.0,0.469,1.0,0.398,1.0,0.066,1.0,0.105,1.0,4.417,1.0,1.424,1.0,,7.0,,7.0
2014-10-01,LI,3.8,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0
2014-10-01,LU,11.5,1.0,13.47,1.0,6.34,1.0,0.381,1.0,0.041,1.0,0.01,1.0,0.081,1.0,0.01,1.0,0.038,1.0,1.788,1.0,0.876,1.0,,7.0,,7.0
2014-10-01,IV,2.5996533795493937,1.0,4.4,1.0,5.77,1.0,0.376,1.0,0.025,1.0,0.0611,1.0,0.079,1.0,0.019,1.0,0.05,1.0,0.78,1.0,0.24,1.0,,7.0,,7.0
2014-10-01,OS,6.9,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0
2014-10-01,NB,38.705950317735415,1.0,6.9,1.0,4.8,1.0,0.186,1.0,0.089,1.0,0.0528,1.0,0.111,1.0,0.024,1.0,0.19,1.0,1.22,1.0,0.17,1.0,,7.0,,7.0
2014-10-02,HG,12.8,1.0,22.4,1.0,5.66,1.0,1.367,1.0,0.064,1.0,0.098,1.0,1.227,1.0,0.079,1.0,1.221,1.0,3.004,1.0,2.631,1.0,,7.0,,7.0
2014-10-05,IV,0.7221259387637204,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,0.21,1.0,2.51,1.0,1.42,1.0,,7.0,,7.0
2014-10-05,HF,2.426343154246101,1.0,5.0,1.0,4.84,1.0,0.166,1.0,0.053,1.0,0.0666,1.0,0.119,1.0,0.016,1.0,0.05,1.0,0.62,1.0,0.31,1.0,,7.0,,7.0
2014-10-06,IV,1.733102253032929,1.0,16.6,1.0,6.21,1.0,1.77,1.0,,7.0,,7.0,,7.0,,7.0,0.14,1.0,2.33,1.0,1.22,1.0,,7.0,,7.0
2014-10-07,MB,21.9,1.0,2.8,1.0,5.53,1.0,0.039,1.0,0.023,1.0,0.026,1.0,0.144,1.0,0.024,1.0,0.032,1.0,0.192,1.0,0.208,1.0,,7.0,,7.0
2014-10-10,IV,4.332755632582323,1.0,8.9,1.0,6.27,1.0,0.901,1.0,0.128,1.0,0.0928,1.0,0.109,1.0,0.023,1.0,0.19,1.0,1.13,1.0,0.57,1.0,,7.0,,7.0
2014-10-11,OS,2.4,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0
2014-10-11,IV,0.5777007510109764,1.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,0.12,1.0,0.52,1.0,0.05,1.0,,7.0,,7.0
2014-10-12,GS,8.4,1.0,5.75,1.0,6.13,1.0,0.194,1.0,0.156,1.0,0.032,1.0,0.542,1.0,0.043,1.0,0.283,1.0,0.458,1.0,0.391,1.0,,7.0,,7.0
2014-10-13,SO,17.4,1.0,6.98,1.0,6.23,1.0,0.412,1.0,0.092,1.0,0.024,1.0,0.595,1.0,0.07,1.0,0.092,1.0,0.782,1.0,0.89,1.0,4.1755534678736896e-05,1.0,0.0436211182398203,1.0
2014-10-13,IV,26.8630849220104,1.0,2.2,1.0,6.1,1.0,0.123,1.0,0.01,1.0,0.025,1.0,0.076,1.0,0.012,1.0,0.008,1.0,0.19,1.0,0.05,1.0,,7.0,,7.0
2014-10-13,LI,2.6,1.0,5.37,1.0,5.81,1.0,0.123,1.0,0.124,1.0,0.142,1.0,0.337,1.0,0.046,1.0,0.144,1.0,0.017,1.0,0.998,1.0,,7.0,,7.0
2014-10-14,IV,5.054881571346043,1.0,7.9,1.0,5.31,1.0,0.148,1.0,0.232,1.0,0.025,1.0,0.394,1.0,0.059,1.0,0.32,1.0,1.67,1.0,0.49,1.0,,7.0,,7.0
2014-10-14,GS,1.3,1.0,20.7,1.0,6.32,1.0,0.351,1.0,1.445,1.0,0.282,1.0,1.154,1.0,0.12,1.0,3.133,1.0,1.449,1.0,0.813,1.0,,7.0,,7.0
2014-10-14,NB,3.523974581166956,1.0,5.3,1.0,5.47,1.0,0.432,1.0,0.064,1.0,0.0808,1.0,0.063,1.0,0.018,1.0,0.14,1.0,1.03,1.0,0.24,1.0,,7.0,,7.0
2014-10-14,LI,0.2,1.0,,7.0,,7.0,0.163,1.0,0.399,1.0,0.181,1.0,0.406,1.0,0.053,1.0,0.165,1.0,0.023,1.0,1.111,1.0,,7.0,,7.0
